regla,if,else,else if,(,),{,},<,>,>=,<=,==,===,!=,;,_,a...z,A...Z,0...9,true,false,.,$
T,EIF ELF ELS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IF,if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EL,-1,else,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EI,-1,-1,else if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EIF,IF PA CO PC LA LC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ELS,-1,EL LA LC DE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio
ELF,-1,vacio,EI PA CO PC LA LC ELF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio
CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L RI OL ORL,L RI OL ORL,D NE NO OL OD,B,B,-1,-1
RI,-1,-1,-1,-1,vacio,-1,-1,vacio,vacio,vacio,vacio,vacio,vacio,vacio,-1,S RI,L RI,L RI,D RI,-1,-1,-1,-1
ORL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L RI,L RI,D NE NO,-1,-1,-1,-1
OD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L RI,L RI,D NE NO,-1,-1,-1,-1
PA,-1,-1,-1,(,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC,-1,-1,-1,-1,),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA,-1,-1,-1,-1,-1,{,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LC,-1,-1,-1,-1,-1,-1,},-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NE,-1,-1,-1,-1,vacio,-1,-1,vacio,vacio,vacio,vacio,vacio,vacio,vacio,-1,-1,-1,-1,D NE,-1,-1,vacio,-1
NO,-1,-1,-1,-1,vacio,-1,-1,vacio,vacio,vacio,vacio,vacio,vacio,vacio,-1,-1,-1,-1,-1,-1,-1,SP NE,-1
OL,-1,-1,-1,-1,-1,-1,-1,<, >,>=,<=, ==, ===,!=,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,;,-1,-1,-1,-1,-1,-1,-1,vacio
S,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,_,-1,-1,-1,-1,-1,-1,-1
L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,a...z,A...Z,-1,-1,-1,-1,-1
D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0...9,-1,-1,-1,-1
B,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,-1,-1
SP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1
