regla,switch,case,break,',"""",:,;,(,),{,},default,a...z,A...Z,0...9,_,$
T,SW PA RI PC LA CS DE LC PCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SW,switch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C,-1,case,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
B,-1,vacio,BR PCO,-1,-1,-1,-1,-1,-1,-1,vacio,vacio,-1,-1,-1,-1,-1
CS,-1,C OP DP B CS,-1,-1,-1,-1,-1,-1,-1,-1,vacio,vacio,-1,-1,-1,-1,-1
OP,-1,-1,-1,' RI ',""" RI """,vacio,-1,-1,-1,-1,-1,-1,-1,-1,N,-1,-1
DP,-1,-1,-1,-1,-1,:,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PCO,-1,-1,-1,-1,-1,-1,;,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio
RI,-1,-1,-1,vacio,vacio,-1,-1,-1,vacio,-1,-1,-1,L OD RI,-1,-1,S RI,-1
OD,-1,-1,-1,vacio,vacio,-1,-1,-1,vacio,-1,-1,-1,vacio,vacio,D OD,vacio,-1
PA,-1,-1,-1,-1,-1,-1,-1,(,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC,-1,-1,-1,-1,-1,-1,-1,-1,),-1,-1,-1,-1,-1,-1,-1,-1
LA,-1,-1,-1,-1,-1,-1,-1,-1,-1,{,-1,-1,-1,-1,-1,-1,-1
LC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,},-1,-1,-1,-1,-1,-1
DE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio,DF DP B,-1,-1,-1,-1,-1
N,-1,-1,-1,-1,-1,vacio,-1,-1,-1,-1,-1,-1,-1,-1,D N,-1,-1
L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,a...z,A...Z,-1,-1,-1
D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0...9,-1,-1
S,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,_,-1
BR,-1,-1,break,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,default,-1,-1,-1,-1,-1
